"DR Number","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting District","Crime Code","Crime Code Description","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Weapon Used Code","Weapon Description","Status Code","Crime Code 1","Crime Code 2","Crime Code 3","Crime Code 4","Address","Cross Street","lat","lon"
"172119687","11/12/2017","11/08/2017","1100","21","Topanga","2173","310","BURGLARY","0344 0352 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","22900    OSTRONIC                     DR","","34.1672","-118.6255"
"172119744","11/13/2017","11/13/2017","0600","21","Topanga","2175","310","BURGLARY","0344 0321","117","","","501","SINGLE FAMILY DWELLING","","","AA","310","","","","22200    PHILIPRIMM                   ST","","34.1729","-118.6103"
"172119805","11/14/2017","11/14/2017","1400","21","Topanga","2161","310","BURGLARY","1601","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5600    BLANCO                       AV","","34.1718","-118.6522"
"172119845","11/15/2017","11/15/2017","1900","21","Topanga","2187","310","BURGLARY","1609 0352 0321 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","21400    DONMETZ                      RD","","34.1635","-118.5977"
"172119933","11/16/2017","11/16/2017","0720","21","Topanga","2161","310","BURGLARY","0344 0352 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24400    HATTERAS                     ST","","34.1732","-118.6561"
"172119967","11/16/2017","11/16/2017","0800","21","Topanga","2187","310","BURGLARY","0321 0344 0352","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","21300    PROVIDENCIA                  ST","","34.1588","-118.5951"
"172119986","11/19/2017","11/19/2017","0600","21","Topanga","2155","310","BURGLARY","1609 0206 0216 0321 0344 0209","117","","","405","CLOTHING STORE","","","IC","310","","","","6000    TOPANGA CANYON               BL","","34.1828","-118.6102"
"172119991","11/19/2017","11/19/2017","0612","21","Topanga","2155","310","BURGLARY","1609 0324 0206 0216","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","6200    TOPANGA CANYON               BL","","34.1828","-118.6102"
"172120006","11/19/2017","11/19/2017","1400","21","Topanga","2161","310","BURGLARY","1609 0344 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24200    HATTERAS                     ST","","34.1742","-118.6522"
"172120020","11/19/2017","11/18/2017","1700","21","Topanga","2177","310","BURGLARY","1606 0344","117","","","707","GARAGE/CARPORT","","","IC","310","","","","5800    OWENSMOUTH                   AV","","34.1753","-118.6015"
"172120056","11/21/2017","11/20/2017","1400","21","Topanga","2172","310","BURGLARY","1609","117","","","504","OTHER RESIDENCE","","","IC","310","","","","5100    CALENDA                      DR","","34.1627","-118.638"
"172120088","11/21/2017","11/21/2017","0845","21","Topanga","2177","310","BURGLARY","1609 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5900    LARAMIE                      AV","","34.1776","-118.5747"
"172120122","11/21/2017","11/21/2017","1135","21","Topanga","2161","310","BURGLARY","0344 1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","6100    ROD                          AV","","34.1815","-118.6626"
"172120243","11/24/2017","11/24/2017","0100","21","Topanga","2155","310","BURGLARY","0344 0314","117","","","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","310","","","","6100    CORAL PINK                   CI","","34.1818","-118.6129"
"172120348","11/28/2017","11/28/2017","0010","21","Topanga","2187","310","BURGLARY","0321 0344 1602","117","","","244","TOBACCO SHOP","","","IC","310","","","","21000    VENTURA                      BL","","34.1667","-118.5908"
"172120407","11/28/2017","11/28/2017","1300","21","Topanga","2161","310","BURGLARY","1601 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24300    HATTERAS                     ST","","34.1752","-118.6548"
"172120484","11/28/2017","11/28/2017","1230","21","Topanga","2172","310","BURGLARY","1606 0321 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","24200    MARIANO                      ST","","34.1663","-118.6523"
"172120485","11/29/2017","11/29/2017","0845","21","Topanga","2187","310","BURGLARY","0321 1606 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","21100    AVENUE SAN LUIS","","34.1651","-118.5928"
"172120564","11/30/2017","11/29/2017","1645","21","Topanga","2177","310","BURGLARY","1606 0344 1202","117","","","707","GARAGE/CARPORT","","","IC","310","","","","21500    CALIFA                       ST","","34.1773","-118.5988"
"172120705","12/04/2017","12/04/2017","0800","21","Topanga","2177","310","BURGLARY","1402 0344 0352 1609 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","998","","","5500    KEOKUK                       AV","","34.1719","-118.5746"
"172120722","12/04/2017","12/04/2017","1230","21","Topanga","2172","310","BURGLARY","1609 0344 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","23600    KIRUNA                       PL","","34.1676","-118.6425"
"172120724","12/04/2017","12/04/2017","0830","21","Topanga","2177","310","BURGLARY","1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5800    LARAMIE                      AV","","34.1765","-118.5752"
"172120742","12/04/2017","12/01/2017","1926","21","Topanga","2177","310","BURGLARY","1607 0344","117","","","203","OTHER BUSINESS","","","IC","310","","","","20900    WARNER CENTER                LN","","34.1747","-118.5886"
"172120743","12/04/2017","12/04/2017","0845","21","Topanga","2177","310","BURGLARY","1609 0344 0352","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5600    COMANCHE                     AV","","34.173","-118.5719"
"172120868","12/08/2017","12/08/2017","1800","21","Topanga","2185","310","BURGLARY","0344 1202","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5100    LLANO                        DR","","34.1615","-118.6111"
"172120915","12/07/2017","12/07/2017","0800","21","Topanga","2172","310","BURGLARY","1609 1202 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","23900    MARIANO                      ST","","34.1663","-118.6474"
"172120916","12/09/2017","12/09/2017","1800","21","Topanga","2185","310","BURGLARY","0321 0344 1606 0206","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5100    TOPANGA CANYON               BL","","34.1592","-118.6108"
